EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
2016p868245|2016-11-17T06:01:10|-42.222|173.586|15.0|GNS|GNS|GNS|2016p868245|M|4.3|GNS|20 km north of Kaikoura
2016p890934|2016-11-25T15:25:47|-18.902|-175.432|183.0|GNS|GNS|GNS|2016p890934|M|4.1|GNS|2080 km north-east of Cape Reinga
2018p951534|2018-12-19T01:37:40|-36.140|-101.700|10.0|GNS|GNS|GNS|2018p951534|mB|6.1|GNS|6860 km south-east of Tolaga Bay
2016p971842|2016-12-25T13:57:38|-34.571|-178.637|33.0|GNS|GNS|GNS|2016p971842|Mw(mB)|4.0|GNS|430 km north-east of Te Araroa
2016p934797|2016-12-11T20:57:54|-24.232|-179.541|467.0|GNS|GNS|GNS|2016p934797|M|5.1|GNS|1355 km north-east of Cape Reinga
2016p868025|2016-11-17T04:04:05|-41.749|174.387|10.4|GNS|GNS|GNS|2016p868025|M|4.6|GNS|25 km east of Seddon
2016p935569|2016-12-12T03:50:34|-32.958|-177.483|33.0|GNS|GNS|GNS|2016p935569|M|4.6|GNS|640 km north-east of Te Araroa
2017p066354|2017-01-25T13:12:20|-32.264|-177.519|33.0|GNS|GNS|GNS|2017p066354|M|4.4|GNS|700 km north-east of Te Araroa
2017p071831|2017-01-27T13:49:21|-24.214|-174.898|459.5|GNS|GNS|GNS|2017p071831|M|4.9|GNS|1615 km north-east of Te Araroa
2016p867831|2016-11-17T02:20:45|-44.911|167.407|102.4|GNS|GNS|GNS|2016p867831|M|4.5|GNS|45 km south-west of Milford Sound
2016p890433|2016-11-25T11:01:44|-31.959|-178.679|10.0|GNS|GNS|GNS|2016p890433|Mw(mB)|5.5|GNS|680 km north-east of Te Araroa
2016p867852|2016-11-17T02:32:00|-42.270|173.584|12.0|GNS|GNS|GNS|2016p867852|M|4.2|GNS|15 km north-west of Kaikoura
2016p931941|2016-12-10T19:37:20|-33.678|-179.566|33.0|GNS|GNS|GNS|2016p931941|M|4.1|GNS|475 km north-east of Te Araroa
2017p021994|2017-01-09T03:14:25|-15.260|-174.864|232.0|GNS|GNS|GNS|2017p021994|M|4.6|GNS|2460 km north-east of Cape Reinga
2017p087289|2017-02-02T07:07:09|-32.912|-179.312|242.7|GNS|GNS|GNS|2017p087289|M|4.8|GNS|560 km north-east of Te Araroa
2016p890807|2016-11-25T14:22:02|-41.471|174.482|12.0|GNS|GNS|GNS|2016p890807|M|4.7|GNS|30 km south-west of Wellington
2016p971908|2016-12-25T14:22:26|-43.400|-73.900|35.0|GNS|GNS|GNS|2016p971908|Mw(mB)|7.7|GNS|8255 km south-east of Dunedin
2016p937060|2016-12-12T17:02:57|-23.876|-179.941|514.0|GNS|GNS|GNS|2016p937060|M|4.1|GNS|1370 km north-east of Cape Reinga
2016p868622|2016-11-17T09:21:58|-41.855|174.068|9.2|GNS|GNS|GNS|2016p868622|M|4.2|GNS|20 km south of Seddon
2016p868715|2016-11-17T10:11:52|-41.713|174.387|10.1|GNS|GNS|GNS|2016p868715|M|4.4|GNS|25 km east of Seddon
2018p698787|2018-09-16T13:10:52|-18.542|-176.781|600.0|GNS|GNS|GNS|2018p698787|M|4.5|GNS|2045 km north-east of Cape Reinga
2018p698996|2018-09-16T15:00:30|-14.600|166.800|35.0|GNS|GNS|GNS|2018p698996|M|4.6|GNS|2270 km north of Cape Reinga
2018p699565|2018-09-16T20:07:25|-32.389|179.273|120.0|GNS|GNS|GNS|2018p699565|M|4.3|GNS|585 km north of Te Araroa
2018p699723|2018-09-16T21:30:24|-25.800|179.495|682.6|GNS|GNS|GNS|2018p699723|M|4.8|GNS|1155 km north-east of Cape Reinga
2016p932293|2016-12-10T22:46:02|-37.125|179.240|12.0|GNS|GNS|GNS|2016p932293|M|4.6|GNS|95 km north-east of Te Araroa
2018p700018|2018-09-17T00:08:23|-25.320|178.540|580.0|GNS|GNS|GNS|2018p700018|M|4.8|GNS|1155 km north-east of Cape Reinga
2018p701079|2018-09-17T09:32:46|-26.024|179.109|650.0|GNS|GNS|GNS|2018p701079|M|5.0|GNS|1115 km north-east of Cape Reinga
2018p702883|2018-09-18T01:36:22|-38.080|176.459|149.4|GNS|GNS|GNS|2018p702883|M|4.6|GNS|20 km east of Rotorua
2018p956779|2018-12-21T00:09:12|-20.553|-176.788|668.4|GNS|GNS|GNS|2018p956779|mB|4.9|GNS|1850 km north-east of Cape Reinga
2018p868282|2018-11-18T06:19:09|-30.544|-177.307|287.6|GNS|GNS|GNS|2018p868282|M|4.8|GNS|880 km north-east of Te Araroa
2017p022935|2017-01-09T11:28:36|-1.715|100.350|44.0|GNS|GNS|GNS|2017p022935|M|5.1|GNS|8115 km west of Milford Sound
2017p089485|2017-02-03T02:37:56|-43.543|170.264|5.0|GNS|GNS|GNS|2017p089485|M|4.3|GNS|20 km north-east of Mount Cook
2016p977108|2016-12-27T12:43:09|-42.344|173.444|9.5|GNS|GNS|GNS|2016p977108|M|4.2|GNS|20 km west of Kaikoura
2016p869914|2016-11-17T20:50:11|-42.293|173.777|12.0|GNS|GNS|GNS|2016p869914|M|4.1|GNS|10 km north-east of Kaikoura
2016p870286|2016-11-18T00:08:47|-41.684|174.415|8.8|GNS|GNS|GNS|2016p870286|M|4.5|GNS|25 km east of Seddon
2016p868234|2016-11-17T05:55:11|-39.544|174.712|109.9|GNS|GNS|GNS|2016p868234|M|4.0|GNS|25 km north of Waverley
2016p895574|2016-11-27T08:42:16|-41.737|174.254|9.2|GNS|GNS|GNS|2016p895574|M|4.9|GNS|15 km south-east of Seddon
2016p893258|2016-11-26T12:07:08|-31.868|179.916|453.9|GNS|GNS|GNS|2016p893258|M|4.4|GNS|650 km north of Te Araroa
2017p025093|2017-01-10T06:13:47|4.460|122.570|613.0|GNS|GNS|GNS|2017p025093|M|4.6|GNS|6785 km north-west of Cape Reinga
2016p894629|2016-11-27T00:18:39|-37.050|179.312|33.0|GNS|GNS|GNS|2016p894629|M|5.1|GNS|105 km north-east of Te Araroa
2018p869652|2018-11-18T18:29:22|-30.699|-178.159|363.4|GNS|GNS|GNS|2018p869652|M|4.2|GNS|830 km north-east of Te Araroa
2018p720479|2018-09-24T13:51:14|-44.890|167.797|63.8|GNS|GNS|GNS|2018p720479|M|4.1|GNS|25 km south-west of Milford Sound
2018p703629|2018-09-18T08:13:28|-35.030|-178.868|120.0|GNS|GNS|GNS|2018p703629|M|4.3|GNS|380 km north-east of Te Araroa
2018p703764|2018-09-18T09:24:10|-30.256|-177.092|33.0|GNS|GNS|GNS|2018p703764|M|5.5|GNS|915 km north-east of Te Araroa
2018p704131|2018-09-18T12:38:35|-20.520|-178.220|517.0|GNS|GNS|GNS|2018p704131|M|4.6|GNS|1780 km north-east of Cape Reinga
2018p704133|2018-09-18T12:40:23|-33.323|-177.866|271.0|GNS|GNS|GNS|2018p704133|M|4.2|GNS|585 km north-east of Te Araroa
2018p705201|2018-09-18T22:11:27|-39.722|173.975|186.5|GNS|GNS|GNS|2018p705201|M|4.0|GNS|30 km south-west of Hawera
2018p706057|2018-09-19T05:47:40|-45.090|167.491|43.5|GNS|GNS|GNS|2018p706057|M|4.5|GNS|40 km north-west of Te Anau
2018p723635|2018-09-25T17:50:33|-23.049|-179.392|550.4|GNS|GNS|GNS|2018p723635|mB|5.2|GNS|1475 km north-east of Cape Reinga
